ROA(%),-42.92,-25.45,-32.91,-9.77,1.87,,,,048410,현대아이비티
부채비율,114.98,69.66,41.46,45.9,76.44,,,,048410,현대아이비티
자본유보율,490.14,221.07,135.23,123.24,137.37,,,,048410,현대아이비티
EPS(원),-1572,-393,-441,-105,23,,,,048410,현대아이비티
PER(배),-0.62,-5.07,-3.39,-47.83,258.98,,,,048410,현대아이비티
BPS(원),1315,859,734,742,812,,,,048410,현대아이비티
PBR(배),0.74,2.32,2.04,6.74,7.49,,,,048410,현대아이비티
현금DPS(원),0,0,0,0,0,,,,048410,현대아이비티
현금배당수익률,0,0,0,0,0,,,,048410,현대아이비티
현금배당성향(%),,,0,0,0,,,,048410,현대아이비티
발행주식수(보통주),10782959,21995214,29720453,30297753,30297753,,,,048410,현대아이비티
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,27,39,23,48,42,,,,138610,나이벡
영업이익,-18,-8,-26,-30,-16,,,,138610,나이벡
세전계속사업이익,-24,-12,-31,-36,-25,,,,138610,나이벡
당기순이익,-18,-14,-38,-36,-24,,,,138610,나이벡
당기순이익(지배),-18,-14,-38,-36,-24,,,,138610,나이벡
당기순이익(비지배),,,,,,,,,138610,나이벡
자산총계,174,165,171,141,194,,,,138610,나이벡
부채총계,71,76,112,91,86,,,,138610,나이벡
자본총계,103,89,58,51,108,,,,138610,나이벡
자본총계(지배),103,89,58,51,108,,,,138610,나이벡
자본총계(비지배),,,,,,,,,138610,나이벡
자본금,17,17,17,20,26,,,,138610,나이벡
영업활동현금흐름,-8,-1,-18,-9,-21,,,,138610,나이벡
투자활동현금흐름,-19,-24,-21,-7,-30,,,,138610,나이벡
재무활동현금흐름,61,4,38,7,61,,,,138610,나이벡
CAPEX,4,10,2,3,13,,,,138610,나이벡
FCF,-12,-11,-20,-12,-35,,,,138610,나이벡
이자발생부채,42,47,82,71,58,,,,138610,나이벡
영업이익률,-66.7,-20.77,-116.08,-63.2,-37.95,,,,138610,나이벡
순이익률,-67.9,-36.3,-169.44,-75.65,-58.13,,,,138610,나이벡
ROE(%),-26.52,-14.69,-52.45,-66.42,-30.52,,,,138610,나이벡
ROA(%),-12.1,-8.31,-22.97,-23.21,-14.45,,,,138610,나이벡
부채비율,68.91,85.85,192.9,178.57,79.59,,,,138610,나이벡
자본유보율,508.52,422.05,241.58,145.58,311.76,,,,138610,나이벡
EPS(원),-634,-390,-1068,-973,-510,,,,138610,나이벡
PER(배),-10.12,-9.7,-2.98,-7.06,-20.79,,,,138610,나이벡
BPS(원),2858,2457,1616,1164,2073,,,,138610,나이벡
PBR(배),2.24,1.54,1.97,5.9,5.11,,,,138610,나이벡
현금DPS(원),0,0,0,0,0,,,,138610,나이벡
현금배당수익률,0,0,0,0,0,,,,138610,나이벡
현금배당성향(%),,,0,0,,,,,138610,나이벡
발행주식수(보통주),3604203,3604203,3604203,4364295,5219715,,,,138610,나이벡
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,268,300,333,392,387,452,,,036670,KCI
영업이익,14,22,24,33,64,71,,,036670,KCI
세전계속사업이익,14,18,24,37,68,,,,036670,KCI
당기순이익,15,19,23,33,55,60,,,036670,KCI
당기순이익(지배),15,19,23,33,55,60,,,036670,KCI
당기순이익(비지배),,,,,,,,,036670,KCI
자산총계,520,530,542,562,556,,,,036670,KCI
부채총계,198,195,166,159,114,,,,036670,KCI
자본총계,322,335,376,403,442,,,,036670,KCI
자본총계(지배),322,335,376,403,442,,,,036670,KCI
자본총계(비지배),,,,,,,,,036670,KCI
자본금,55,55,55,56,56,,,,036670,KCI
영업활동현금흐름,-14,35,19,57,97,,,,036670,KCI
투자활동현금흐름,-2,-34,-3,-19,-11,,,,036670,KCI
재무활동현금흐름,10,-4,-17,-28,-47,,,,036670,KCI
CAPEX,27,30,3,8,6,,,,036670,KCI
FCF,-41,5,16,49,92,,,,036670,KCI
이자발생부채,181,182,144,120,77,,,,036670,KCI
영업이익률,5.25,7.46,7.24,8.45,16.61,15.72,,,036670,KCI
순이익률,5.41,6.27,6.89,8.44,14.11,13.29,,,036670,KCI
ROE(%),4.52,5.73,6.45,8.49,12.92,,,,036670,KCI
ROA(%),2.86,3.58,4.27,5.99,9.76,,,,036670,KCI
부채비율,61.59,58.42,44.24,39.31,25.91,,,,036670,KCI
자본유보율,518.57,543.38,587.29,634.29,715.79,,,,036670,KCI
EPS(원),132,171,208,293,484,532,,,036670,KCI
PER(배),17.41,15.49,44.37,24.03,20.63,16.62,,,036670,KCI
BPS(원),3113,3237,3353,3610,4002,,,,036670,KCI
PBR(배),0.74,0.82,2.75,1.95,2.5,,,,036670,KCI
현금DPS(원),50,50,75,90,130,,,,036670,KCI
현금배당수익률,2.17,1.89,0.81,1.28,1.3,,,,036670,KCI
현금배당성향(%),35.57,27.47,36.7,30.43,26.28,,,,036670,KCI
발행주식수(보통주),11000000,11000000,11000000,11130000,11270000,,,,036670,KCI
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,8180,8566,9383,10448,11329,,,,005250,녹십자홀딩스
영업이익,1058,890,949,1152,1076,,,,005250,녹십자홀딩스
세전계속사업이익,930,448,1087,1401,1570,,,,005250,녹십자홀딩스
당기순이익,571,901,808,1015,1128,,,,005250,녹십자홀딩스
당기순이익(지배),277,615,436,568,654,,,,005250,녹십자홀딩스
당기순이익(비지배),294,286,372,447,474,,,,005250,녹십자홀딩스
자산총계,46032,14463,16241,17909,20587,,,,005250,녹십자홀딩스
부채총계,37075,4735,5245,6098,7513,,,,005250,녹십자홀딩스
자본총계,8958,9728,10997,11811,13074,,,,005250,녹십자홀딩스
자본총계(지배),5593,6218,6732,7047,7322,,,,005250,녹십자홀딩스
자본총계(비지배),3365,3510,4265,4764,5752,,,,005250,녹십자홀딩스
자본금,266,266,266,266,266,,,,005250,녹십자홀딩스
영업활동현금흐름,1162,368,176,545,70,,,,005250,녹십자홀딩스
투자활동현금흐름,-316,-681,-930,-1029,-201,,,,005250,녹십자홀딩스
재무활동현금흐름,-291,-2005,859,553,1263,,,,005250,녹십자홀딩스
CAPEX,487,755,996,783,1518,,,,005250,녹십자홀딩스
FCF,675,-387,-820,-237,-1448,,,,005250,녹십자홀딩스
이자발생부채,3441,1651,1966,2550,3380,,,,005250,녹십자홀딩스
영업이익률,12.93,10.39,10.11,11.03,9.5,,,,005250,녹십자홀딩스
순이익률,6.98,10.52,8.61,9.71,9.96,,,,005250,녹십자홀딩스
ROE(%),4.96,10.42,6.73,8.24,9.11,,,,005250,녹십자홀딩스
ROA(%),1.31,2.98,5.26,5.94,5.86,,,,005250,녹십자홀딩스
부채비율,413.89,48.67,47.69,51.63,57.46,,,,005250,녹십자홀딩스
자본유보율,1947.15,2131.92,2285.45,2455.16,2649.77,,,,005250,녹십자홀딩스
EPS(원),559,1242,879,1146,1320,,,,005250,녹십자홀딩스
PER(배),26.49,12.36,14.16,18.24,31.77,,,,005250,녹십자홀딩스
BPS(원),12773,14248,14758,15453,16127,,,,005250,녹십자홀딩스
PBR(배),1.16,1.08,0.84,1.35,2.6,,,,005250,녹십자홀딩스
현금DPS(원),250,450,250,300,300,400,400,,005250,녹십자홀딩스
현금배당수익률,1.69,2.93,2.01,1.44,0.72,1.01,1.01,,005250,녹십자홀딩스
현금배당성향(%),39.58,31.91,26.19,24.1,20.82,,,,005250,녹십자홀딩스
발행주식수(보통주),47028210,47028210,47028210,47028210,47028210,,,,005250,녹십자홀딩스
주요재무정보,2011,2012,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,27,63,58,167,325,180,200,90,095700,제넥신
영업이익,-63,-27,-71,-52,11,-130,-110,-230,095700,제넥신
세전계속사업이익,-71,-21,-90,-74,-14,-110,-110,-230,095700,제넥신
당기순이익,-71,-21,-90,-74,-14,-110,-110,-230,095700,제넥신
당기순이익(지배),-71,-21,-90,-74,-14,-110,-110,-230,095700,제넥신
당기순이익(비지배),,,,,,,,,095700,제넥신
자산총계,392,634,558,1141,1421,1322,1317,1269,095700,제넥신
부채총계,151,176,175,132,163,110,211,393,095700,제넥신
자본총계,240,458,383,1009,1258,1212,1106,876,095700,제넥신
자본총계(지배),242,458,383,1009,1258,1212,1106,876,095700,제넥신
자본총계(비지배),-2,,,,,,,,095700,제넥신
자본금,25,31,31,43,45,90,90,90,095700,제넥신
영업활동현금흐름,-35,17,-67,65,-16,160,63,33,095700,제넥신
투자활동현금흐름,-24,-269,49,-255,-548,-132,-124,-116,095700,제넥신
재무활동현금흐름,75,258,6,610,204,-1,-46,-46,095700,제넥신
CAPEX,57,24,18,58,31,,,,095700,제넥신
FCF,-92,-8,-85,7,-47,-118,-105,-224,095700,제넥신
이자발생부채,105,123,134,73,30,,,,095700,제넥신
영업이익률,-236.4,-43.07,-122.52,-31.27,3.34,-72.22,-55,-255.56,095700,제넥신
순이익률,-265.05,-33.53,-156.37,-44.51,-4.39,-61.11,-55,-255.56,095700,제넥신
ROE(%),,-5.99,-21.39,-10.65,-1.26,-8.91,-9.49,-23.21,095700,제넥신
ROA(%),,-4.09,-15.1,-8.72,-1.11,-8.02,-8.34,-17.79,095700,제넥신
부채비율,62.99,38.3,45.8,13.06,12.99,9.08,19.08,44.86,095700,제넥신
자본유보율,821.72,1339.32,1072.42,2191.2,2579.9,,,,095700,제넥신
EPS(원),-746,-199,-721,-505,-82,-604,-602,-1259,095700,제넥신
PER(배),-10.56,-45.14,-18.86,-47.09,-575.41,-97.57,-97.83,-46.79,095700,제넥신
BPS(원),2402,3687,3047,5907,6954,6634,6053,4795,095700,제넥신
PBR(배),3.28,2.44,4.46,4.03,6.75,8.88,9.73,12.28,095700,제넥신
현금DPS(원),0,0,0,0,0,0,0,0,095700,제넥신
현금배당수익률,0,0,0,0,0,0,0,0,095700,제넥신
현금배당성향(%),,,0,0,0,,,,095700,제넥신
발행주식수(보통주),10074956,12428956,12571956,14758356,16588404,,,,095700,제넥신
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,100590,96952,97992,98654,99682,105982,110706,113530,003555,LG우
영업이익,13511,12315,11539,10441,11380,14157,15235,15931,003555,LG우
세전계속사업이익,12335,11600,10790,9557,10754,13484,14573,15410,003555,LG우
당기순이익,10298,9617,8309,8343,9438,11552,12230,13182,003555,LG우
당기순이익(지배),9783,9382,8961,8445,9442,11447,12088,13165,003555,LG우
당기순이익(비지배),515,235,-653,-103,-4,,,,003555,LG우
자산총계,151607,158481,165502,173327,181234,189771,200139,213269,003555,LG우
부채총계,42002,43027,44449,47469,48152,47585,48488,48904,003555,LG우
자본총계,109604,115454,121053,125858,133082,141642,150291,163954,003555,LG우
자본총계(지배),105495,111290,117564,122519,129755,138181,146646,160192,003555,LG우
자본총계(비지배),4110,4164,3489,3339,3327,,,,003555,LG우
자본금,8794,8794,8794,8794,8794,8792,8792,8791,003555,LG우
영업활동현금흐름,7108,5966,7360,6003,8863,14356,14623,15371,003555,LG우
투자활동현금흐름,-9484,-5238,-5434,-7209,-3683,-5526,-5359,-5870,003555,LG우
재무활동현금흐름,3263,-7,-177,-599,-1452,-3645,-2968,-3239,003555,LG우
CAPEX,6004,3784,3309,3608,2630,2311,2388,2694,003555,LG우
FCF,1104,2182,4051,2395,6233,13098,12725,13192,003555,LG우
이자발생부채,14193,15911,17510,18774,19165,,,,003555,LG우
영업이익률,13.43,12.7,11.78,10.58,11.42,13.36,13.76,14.03,003555,LG우
순이익률,10.24,9.92,8.48,8.46,9.47,10.9,11.05,11.61,003555,LG우
ROE(%),9.59,8.65,7.83,7.03,7.49,8.54,8.49,8.58,003555,LG우
ROA(%),7.12,6.2,5.13,4.92,5.32,6.23,6.27,6.38,003555,LG우
부채비율,38.32,37.27,36.72,37.72,36.18,33.6,32.26,29.83,003555,LG우
자본유보율,1107.35,1163.01,1244.11,1309.58,1391.17,,,,003555,LG우
EPS(원),5563,5334,5095,4802,5369,6509,6873,7486,003555,LG우
PER(배),11.04,12.22,12.56,12.74,13.19,9.77,9.25,8.5,003555,LG우
BPS(원),60019,63315,66885,69704,73820,78614,83430,91136,003555,LG우
PBR(배),1.02,1.03,0.96,0.88,0.96,0.81,0.76,0.7,003555,LG우
현금DPS(원),1000,1000,1000,1000,1300,1275,1317,1367,003555,LG우
현금배당수익률,1.63,1.53,1.56,1.63,1.84,2,2.07,2.15,003555,LG우
현금배당성향(%),17.98,18.75,19.63,20.83,24.22,0.2,0.19,0.18,003555,LG우
발행주식수(보통주),172557131,172557131,172557131,172557131,172557131,,,,003555,LG우
주요재무정보,2011,2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,1111,1180,1433,1495,990,,,,045660,에이텍
영업이익,96,63,58,38,44,,,,045660,에이텍
세전계속사업이익,86,91,90,54,75,,,,045660,에이텍
당기순이익,56,75,68,70,84,,,,045660,에이텍
당기순이익(지배),56,75,68,70,84,,,,045660,에이텍
당기순이익(비지배),,,,,,,,,045660,에이텍
자산총계,770,764,878,996,625,,,,045660,에이텍
부채총계,279,216,275,342,160,,,,045660,에이텍
자본총계,491,548,602,654,465,,,,045660,에이텍
자본총계(지배),491,548,602,654,465,,,,045660,에이텍
자본총계(비지배),,,,,,,,,045660,에이텍
자본금,68,68,68,68,41,,,,045660,에이텍
영업활동현금흐름,183,4,89,51,-1,,,,045660,에이텍
투자활동현금흐름,-96,-67,4,-95,108,,,,045660,에이텍
재무활동현금흐름,2,-10,-13,-5,-117,,,,045660,에이텍
CAPEX,75,121,11,9,10,,,,045660,에이텍
FCF,108,-116,78,42,-11,,,,045660,에이텍
이자발생부채,5,5,4,11,5,,,,045660,에이텍
영업이익률,8.68,5.36,4.04,2.52,4.42,,,,045660,에이텍
순이익률,5.03,6.35,4.77,4.66,8.49,,,,045660,에이텍
ROE(%),,14.42,11.89,11.09,15.02,,,,045660,에이텍
ROA(%),,9.72,8.33,7.44,10.37,,,,045660,에이텍
부채비율,56.9,39.41,45.68,52.22,34.41,,,,045660,에이텍
자본유보율,633.71,719.33,797.76,875.08,1507.04,,,,045660,에이텍
EPS(원),411,551,503,512,754,,,,045660,에이텍
PER(배),7.43,6.79,7.65,10.15,5.1,,,,045660,에이텍
BPS(원),3775,4218,4633,5034,5893,,,,045660,에이텍
PBR(배),0.81,0.89,0.83,1.03,0.65,,,,045660,에이텍
현금DPS(원),100,100,100,100,100,,,,045660,에이텍
현금배당수익률,3.28,2.67,2.6,1.92,2.6,,,,045660,에이텍
현금배당성향(%),23.28,17.35,19.01,18.66,9.39,,,,045660,에이텍
발행주식수(보통주),13600000,13600000,13600000,13600000,8260000,,,,045660,에이텍
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,380,444,438,522,586,694,758,836,078140,대봉엘에스
영업이익,27,36,61,64,86,105,118,127,078140,대봉엘에스
세전계속사업이익,37,41,64,69,92,107,122,132,078140,대봉엘에스
당기순이익,32,35,53,57,75,88,100,107,078140,대봉엘에스
당기순이익(지배),32,34,50,54,72,83,96,104,078140,대봉엘에스
당기순이익(비지배),0,1,3,2,4,,,,078140,대봉엘에스
자산총계,438,465,510,566,655,744,848,961,078140,대봉엘에스
부채총계,73,70,68,73,91,95,105,119,078140,대봉엘에스
자본총계,366,395,442,494,563,649,742,842,078140,대봉엘에스
자본총계(지배),364,393,437,486,552,634,724,820,078140,대봉엘에스
자본총계(비지배),2,3,5,8,11,,,,078140,대봉엘에스
자본금,55,55,55,55,55,55,55,55,078140,대봉엘에스
영업활동현금흐름,29,-9,51,25,87,62,74,75,078140,대봉엘에스
투자활동현금흐름,-18,10,-36,-27,-61,-28,-14,4,078140,대봉엘에스
재무활동현금흐름,-7,-6,-6,-5,-2,-3,-6,-7,078140,대봉엘에스
CAPEX,6,7,12,6,7,20,5,0,078140,대봉엘에스
FCF,23,-17,39,19,80,53,69,76,078140,대봉엘에스
이자발생부채,3,3,2,3,7,,,,078140,대봉엘에스
영업이익률,7.21,8.02,13.97,12.2,14.59,15.08,15.57,15.19,078140,대봉엘에스
순이익률,8.38,7.87,12.01,10.87,12.84,12.61,13.13,12.8,078140,대봉엘에스
ROE(%),,8.91,12.04,11.8,13.78,13.99,14.06,13.47,078140,대봉엘에스
ROA(%),,7.73,10.78,10.53,12.33,12.51,12.5,11.83,078140,대봉엘에스
부채비율,19.91,17.71,15.34,14.77,16.22,14.64,14.14,14.13,078140,대봉엘에스
자본유보율,558.04,608.2,688.3,776.54,895.56,,,,078140,대봉엘에스
EPS(원),301,304,450,491,645,749,861,938,078140,대봉엘에스
PER(배),9.1,9.4,9.23,18.14,15.47,18.43,16.02,14.71,078140,대봉엘에스
BPS(원),3290,3541,3941,4383,4978,5723,6530,7396,078140,대봉엘에스
PBR(배),0.83,0.81,1.06,2.03,2,2.41,2.11,1.87,078140,대봉엘에스
현금DPS(원),50,50,50,50,50,55,55,60,078140,대봉엘에스
현금배당수익률,1.83,1.75,1.2,0.56,0.5,0.4,0.4,0.43,078140,대봉엘에스
현금배당성향(%),17.56,16.45,11.1,10.18,7.75,0.07,0.06,0.06,078140,대봉엘에스
발행주식수(보통주),11061858,11086579,11086579,11086579,11086579,,,,078140,대봉엘에스
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,4658,4181,5493,7546,12183,13368,14334,15342,014825,동원시스템즈우
영업이익,241,163,166,267,985,1279,1524,1738,014825,동원시스템즈우
세전계속사업이익,-278,34,85,11,567,1126,1429,1740,014825,동원시스템즈우
당기순이익,-267,-11,94,4,461,912,1129,1323,014825,동원시스템즈우
당기순이익(지배),-266,-4,104,22,310,772,969,1153,014825,동원시스템즈우
당기순이익(비지배),-1,-7,-10,-18,151,,,,014825,동원시스템즈우
자산총계,4509,4179,5419,11224,12724,13256,14168,15526,014825,동원시스템즈우
부채총계,3603,3286,3362,8768,9609,9284,9099,9170,014825,동원시스템즈우
자본총계,906,893,2057,2456,3114,3971,5069,6356,014825,동원시스템즈우
자본총계(지배),860,851,2025,1755,2188,2993,4034,5262,014825,동원시스템즈우
자본총계(비지배),46,41,32,701,926,,,,014825,동원시스템즈우
자본금,616,616,1217,1217,1217,1217,1217,1217,014825,동원시스템즈우
영업활동현금흐름,-164,-228,437,89,1669,753,1348,1794,014825,동원시스템즈우
투자활동현금흐름,-43,-58,535,-1444,-863,-556,-400,-436,014825,동원시스템즈우
재무활동현금흐름,185,-60,-722,1519,217,-411,-280,-30,014825,동원시스템즈우
CAPEX,118,45,126,102,626,346,357,376,014825,동원시스템즈우
FCF,-282,-272,310,-13,1044,427,980,1410,014825,동원시스템즈우
이자발생부채,1926,2021,1359,5326,5935,,,,014825,동원시스템즈우
영업이익률,5.17,3.89,3.02,3.53,8.08,9.57,10.64,11.33,014825,동원시스템즈우
순이익률,-5.74,-0.26,1.71,0.05,3.78,6.82,7.88,8.62,014825,동원시스템즈우
ROE(%),-26.75,-0.48,7.25,1.17,15.73,29.78,27.58,24.81,014825,동원시스템즈우
ROA(%),-6.22,-0.25,1.96,0.05,3.85,7.02,8.23,8.91,014825,동원시스템즈우
부채비율,397.73,368.15,163.46,356.99,308.55,233.8,179.5,144.27,014825,동원시스템즈우
자본유보율,39.37,39.63,78.08,88.64,123.46,,,,014825,동원시스템즈우
EPS(원),-2161,-34,429,91,1274,3169,3980,4736,014825,동원시스템즈우
PER(배),-5.39,-355,20.23,263.95,69.23,20.01,15.93,13.39,014825,동원시스템즈우
BPS(원),6980,6908,8754,7210,8989,12294,16568,21616,014825,동원시스템즈우
PBR(배),1.67,1.72,0.99,3.34,9.81,5.16,3.83,2.93,014825,동원시스템즈우
현금DPS(원),0,0,0,250,250,125,125,125,014825,동원시스템즈우
현금배당수익률,0,0,0,1.04,0.28,0.2,0.2,0.2,014825,동원시스템즈우
현금배당성향(%),0,0,0,274.97,19.67,0.04,0.03,0.03,014825,동원시스템즈우
발행주식수(보통주),12059642,12059642,24079554,24079554,24079554,,,,014825,동원시스템즈우
